标题,小区,地区,房源信息,总价,单价,所在区
['高层南向景观好，满五唯一，全新装修，钥匙方便看房'],['利雅湾 '],['珠江新城中'],['3室2厅 | 129.91平米 | 西南 | 其他 | 高楼层(共29层) | 2004年 | 塔楼'],['2201'],"['169,425元/平']",天河区
['中海花城湾北向无遮挡 望珠江公园 东单边位采光好'],['中海花城湾 '],['珠江新城中'],['3室1厅 | 127.34平米 | 北 | 其他 | 中楼层(共30层) | 2005年 | 塔楼'],['2380'],"['186,902元/平']",天河区
['中海花城湾 视野开阔 采光充足 户型方正 看房方便'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 125.87平米 | 北 | 其他 | 中楼层(共30层) | 2005年 | 塔楼'],['1950'],"['154,922元/平']",天河区
['嘉裕三期，南向三房，过五唯一，省税'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 122.92平米 | 南 | 精装 | 低楼层(共33层) | 2015年 | 塔楼'],['1920'],"['156,200元/平']",天河区
['中海花城湾 少有房源出 过五年省税'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 125.87平米 | 北 | 其他 | 中楼层(共30层) | 2005年 | 塔楼'],['2400'],"['190,673元/平']",天河区
['嘉裕公馆南向大三房，户型方正光线好'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 122.92平米 | 南 | 其他 | 中楼层(共33层) | 2015年 | 塔楼'],['2630'],"['213,961元/平']",天河区
['嘉裕公馆 高楼层 全南向  三房带主套 安静 全新装修'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 122.92平米 | 南 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['2730'],"['222,096元/平']",天河区
['保利心语高层三房采光好，安静望花园，全新装修'],['保利心语 '],['珠江新城中'],['3室1厅 | 110.9平米 | 北 | 精装 | 高楼层(共32层) | 2008年 | 塔楼'],['1450'],"['130,749元/平']",天河区
['高层东单边望公园正规三房 少有放卖'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 127.43平米 | 东 北 | 精装 | 高楼层(共30层) | 2005年 | 塔楼'],['2390'],"['187,554元/平']",天河区
"['户型方正，视野开阔,闹中取静！']",['中海花城湾 '],['珠江新城中'],['3室2厅 | 127.44平米 | 北 | 精装 | 中楼层(共30层) | 2005年 | 塔楼'],['2000'],"['156,937元/平']",天河区
['珠江新城中区网红楼盘 嘉裕公馆次新房 南向高层'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 122.92平米 | 南 | 其他 | 高楼层(共33层) | 2015年 | 塔楼'],['2700'],"['219,656元/平']",天河区
['保利心语花园 高层南向三房 采光好 客厅宽敞 通风'],['保利心语 '],['珠江新城中'],['3室2厅 | 112.71平米 | 南 | 精装 | 高楼层(共32层) | 2008年 | 塔楼'],['1578'],"['140,006元/平']",天河区
['保利心语    中高层看园林3房    视野采光好'],['保利心语 '],['珠江新城中'],['3室2厅 | 115.08平米 | 北 | 其他 | 中楼层(共32层) | 2008年 | 塔楼'],['1340'],"['116,441元/平']",天河区
['网红小区南向高层靓盘 单边位 主卧可看江 少有放卖'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 124.25平米 | 南 | 精装 | 高楼层(共30层) | 2005年 | 塔楼'],['2300'],"['185,111元/平']",天河区
['珠江新城标杆小区全新装修高层南向高层三房望泳池望江'],['中海花城湾 '],['珠江新城中'],['3室1厅 | 124.25平米 | 南 | 精装 | 高楼层(共30层) | 2005年 | 塔楼'],['2300'],"['185,111元/平']",天河区
['户型方正实用，楼间距宽，可望整个珠江公园'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 127.44平米 | 东北 | 其他 | 低楼层(共30层) | 2005年 | 塔楼'],['1980'],"['155,368元/平']",天河区
['高层南向望广州塔 保养新净 南北对流 格局方正'],['利雅湾 '],['珠江新城中'],['3室2厅 | 125.41平米 | 西南 | 精装 | 高楼层(共31层) | 2004年 | 塔楼'],['1268'],"['101,109元/平']",天河区
['利雅湾  中层实用四房  通风采光好'],['利雅湾 '],['珠江新城中'],['4室2厅 | 152.32平米 | 南 | 精装 | 中楼层(共29层) | 2004年 | 塔楼'],['1980'],"['129,990元/平']",天河区
['保利心语 方正3房  安静望花园'],['保利心语 '],['珠江新城中'],['3室2厅 | 107.86平米 | 北 | 精装 | 低楼层(共32层) | 2008年 | 塔楼'],['1299'],"['120,434元/平']",天河区
['中楼层 西南向安静三房 户型方正实用'],['利雅湾 '],['珠江新城中'],['3室2厅 | 115.46平米 | 西南 | 精装 | 中楼层(共29层) | 2004年 | 塔楼'],['1750'],"['151,568元/平']",天河区
['东南向 望小区园林 鸟语花香 诚意出'],['利雅湾 '],['珠江新城中'],['3室1厅 | 124.8平米 | 南 北 | 其他 | 低楼层(共31层) | 2004年 | 板塔结合'],['1400'],"['112,180元/平']",天河区
['珠江新城利雅湾东南向带大平台三房'],['利雅湾 '],['珠江新城中'],['3室2厅 | 124.73平米 | 东南 | 精装 | 低楼层(共31层) | 2004年 | 塔楼'],['1990'],"['159,545元/平']",天河区
['利雅湾花园小区，东南向望花园，安静舒适'],['利雅湾 '],['珠江新城中'],['3室2厅 | 124.8平米 | 南 | 精装 | 低楼层(共31层) | 2004年 | 塔楼'],['1750'],"['140,225元/平']",天河区
['利雅湾东南向中高层安静望小区花园'],['利雅湾 '],['珠江新城中'],['3室2厅 | 124.8平米 | 东南 | 简装 | 中楼层(共31层) | 2004年 | 板塔结合'],['1500'],"['120,193元/平']",天河区
['采光很好 户型方正 证过五年唯一物业 保养好'],['利雅湾 '],['珠江新城中'],['3室1厅 | 124.8平米 | 东南 | 其他 | 低楼层(共31层) | 2004年 | 塔楼'],['1500'],"['120,193元/平']",天河区
['安静舒适，看小区花园，高层视野开阔'],['利雅湾 '],['珠江新城中'],['3室2厅 | 125.33平米 | 南 西南 | 精装 | 高楼层(共31层) | 2004年 | 板塔结合'],['1600'],"['127,663元/平']",天河区
['保养好，房型景观靓，安静小吵，近小蛮腰，花城广场'],['利雅湾 '],['珠江新城中'],['3室2厅 | 124.8平米 | 南 西南 | 精装 | 中楼层(共31层) | 2004年 | 塔楼'],['1880'],"['150,642元/平']",天河区
['珠江新城小区房，三房两卫，楼龄新密度低，厅出阳台'],['广弘天琪 '],['珠江新城西'],['3室1厅 | 117.11平米 | 东北 | 其他 | 中楼层(共31层) | 2009年 | 塔楼'],['1299'],"['110,922元/平']",天河区
['此房是高楼层，东南朝向，望花园景观的3房'],['星汇园 '],['珠江新城西'],['3室1厅 | 119.21平米 | 东南 | 其他 | 高楼层(共33层) | 2001年 | 塔楼'],['1300'],"['109,052元/平']",天河区
['中海花城湾 3室1厅 南'],['中海花城湾 '],['珠江新城中'],['3室1厅 | 152.33平米 | 南 | 精装 | 中楼层(共30层) | 2005年 | 塔楼'],['2500'],"['164,118元/平']",天河区
['楼新，此房满五唯一，景观好，户型实用'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 152.34平米 | 西 | 其他 | 中楼层(共33层) | 2015年 | 塔楼'],['2470'],"['162,138元/平']",天河区
['嘉裕公馆方正大三房，装修保养好，采光通风好'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 153.1平米 | 西南 西 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2580'],"['168,518元/平']",天河区
['嘉裕公馆 西面望江  小蛮腰景观'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 153.35平米 | 西 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2880'],"['187,806元/平']",天河区
['用心品质装修，凤凰楼层，看房方便'],['保利心语 '],['珠江新城中'],['3室2厅 | 109.46平米 | 北 | 精装 | 高楼层(共32层) | 2008年 | 塔楼'],['1855'],"['169,469元/平']",天河区
['珠城中区 此房满五年，南向望兴盛路，，业主有心卖'],['保利心语 '],['珠江新城中'],['3室2厅 | 107.86平米 | 北 | 精装 | 高楼层(共32层) | 2008年 | 塔楼'],['1480'],"['137,215元/平']",天河区
['嘉裕公馆 望小蛮腰全景大三房双主套 方便约看'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 153.36平米 | 西 | 其他 | 中楼层(共33层) | 2015年 | 塔楼'],['2150'],"['140,194元/平']",天河区
['嘉裕公馆 高层视野开阔望小蛮腰全景 大三房 满五唯一'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 152.68平米 | 西南 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['2800'],"['183,391元/平']",天河区
['店长推荐 望正中花园  网红小区 三房带储物间'],['保利心语 '],['珠江新城中'],['3室1厅 | 107.86平米 | 北 | 精装 | 低楼层(共32层) | 2008年 | 塔楼'],['1650'],"['152,977元/平']",天河区
['保利心语中高层优质三房 满五年无占用学 安静望花园'],['保利心语 '],['珠江新城中'],['3室1厅 | 107.86平米 | 北 | 精装 | 中楼层(共32层) | 2008年 | 塔楼'],['1220'],"['113,110元/平']",天河区
['嘉裕公馆 高层看广州塔精装3房 双套间 日照充足'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 153.1平米 | 西 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2680'],"['175,049元/平']",天河区
['嘉裕公馆高楼层三房 ，望广州塔'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 152.34平米 | 西 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['2850'],"['187,082元/平']",天河区
['望小蛮腰  视野开阔   格局方正  长阳台'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 157.59平米 | 西 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2398'],"['152,168元/平']",天河区
['珠江新城中区，西向三房带主套，户型方正 景观漂亮！'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 152.34平米 | 西 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['2750'],"['180,518元/平']",天河区
['婚房装修，拎包入住，15米大阳台看小区园林'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 185.02平米 | 北 | 其他 | 低楼层(共33层) | 2015年 | 塔楼'],['3700'],"['199,979元/平']",天河区
['全南向大三房。户型方正，视野开阔，诚心放卖'],['领峰园 '],['珠江新城中'],['3室1厅 | 166.05平米 | 南 | 其他 | 高楼层(共25层) | 2009年 | 塔楼'],['2220'],"['133,695元/平']",天河区
['珠城中区次新楼盘，配套齐全，3+1双主套，精装修'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 173.64平米 | 北 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2780'],"['160,102元/平']",天河区
['中海花城湾 南向安静园景三房  少有放盘 居住舒适'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 152.33平米 | 南 | 简装 | 高楼层(共30层) | 2005年 | 塔楼'],['2650'],"['173,965元/平']",天河区
['嘉裕公馆尊享品质三房三卫 高层望小蛮腰'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 153.35平米 | 西 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2880'],"['187,806元/平']",天河区
['高层单边位能望小蛮腰，采光通风效果好，可造成3房'],['汇峰苑 '],['珠江新城中'],['3室1厅 | 44.24平米 | 西 | 精装 | 高楼层(共43层) | 2008年 | 塔楼'],['368'],"['83,183元/平']",天河区
['望小蛮腰，双套间，满五唯一费用低，主卧通透对流好'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 152.68平米 | 西 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2230'],"['146,058元/平']",天河区
['星汇园 大三房 东南向望花园  看房方便'],['星汇园 '],['珠江新城西'],['3室2厅 | 129.93平米 | 东南 | 简装 | 低楼层(共33层) | 2001年 | 塔楼'],['1050'],"['80,813元/平']",天河区
['楼层好 东南向 看房方便 保养很好 业主少住'],['远洋明珠大厦 '],['珠江新城西'],['3室2厅 | 118.22平米 | 东南 | 其他 | 低楼层(共25层) | 1998年 | 板楼'],['888'],"['75,115元/平']",天河区
['地理位置优越，罕有市区内的三房，板式设计对流户型'],['保利香槟花园 '],['珠江新城西'],['3室2厅 | 120.04平米 | 南 | 精装 | 低楼层(共29层) | 2004年 | 塔楼'],['1650'],"['137,455元/平']",天河区
['珠江新城西区 西南向三房 户型好总*低 业主诚心出*'],['富力盈力大厦 '],['珠江新城西'],['3室1厅 | 129.43平米 | 西南 | 其他 | 低楼层(共30层) | 2005年 | 板塔结合'],['460'],"['35,541元/平']",天河区
['远洋明珠 实用三房户型 装修保养好'],['远洋明珠大厦 '],['珠江新城西'],['3室2厅 | 117.6平米 | 东北 | 精装 | 中楼层(共25层) | 1998年 | 板楼'],['750'],"['63,776元/平']",天河区
['高层东北向 视野开阔 望西塔景观 采光充足'],['广弘天琪 '],['珠江新城西'],['3室2厅 | 117.1平米 | 北 | 其他 | 高楼层(共31层) | 2009年 | 塔楼'],['2150'],"['183,604元/平']",天河区
['广弘天琪  少有南向3房放卖 看房有K'],['广弘天琪 '],['珠江新城西'],['3室2厅 | 126.9平米 | 南 | 精装 | 低楼层(共31层) | 2009年 | 塔楼'],['1490'],"['117,416元/平']",天河区
['东南向高楼层 城市中轴景观 大花园小区 新装修'],['星汇园 '],['珠江新城西'],['3室2厅 | 129.93平米 | 东南 | 精装 | 中楼层(共33层) | 2001年 | 塔楼'],['1600'],"['123,144元/平']",天河区
['星汇园 高楼层西南向 视野开阔 采光充足 住家氛围浓厚'],['星汇园 '],['珠江新城西'],['3室2厅 | 129.93平米 | 西南 | 其他 | 高楼层(共33层) | 2001年 | 塔楼'],['1050'],"['80,813元/平']",天河区
['保利香槟花园 大小区园林 户型方正 高层视野开阔'],['保利香槟花园 '],['珠江新城西'],['3室2厅 | 120.03平米 | 南 | 简装 | 高楼层(共29层) | 2004年 | 塔楼'],['1439'],"['119,887元/平']",天河区
['不用购房资格 过五唯一两梯三户 单边位看花园 3+1户型'],['广弘天琪 '],['珠江新城西'],['3室1厅 | 126.29平米 | 南 | 精装 | 低楼层(共31层) | 2009年 | 塔楼'],['1980'],"['156,783元/平']",天河区
['珠江新城三房方正，落地窗视野开阔，可注册，一层一户'],['富力盈丰大厦 '],['珠江新城西'],['3室1厅 | 128.54平米 | 西北 | 其他 | 高楼层(共29层) | 2005年 | 塔楼'],['480'],"['37,343元/平']",天河区
['享受江边的好风景  成熟生活商圈  居家舒适'],['碧海湾 '],['珠江新城西'],['3室1厅 | 128.59平米 | 南 西南 北 | 其他 | 高楼层(共28层) | 2003年 | 塔楼'],['1190'],"['92,543元/平']",天河区
['高层 东南向 看广州三件套景观视野好厅出阳台'],['星汇园 '],['珠江新城西'],['3室2厅 | 119.21平米 | 东南 | 精装 | 中楼层(共33层) | 2001年 | 塔楼'],['1388'],"['116,434元/平']",天河区
['高层北向实用三房，双阳台，采光视野开阔望CBD景观'],['利雅湾 '],['珠江新城中'],['3室1厅 | 90.49平米 | 北 | 精装 | 高楼层(共31层) | 2004年 | 塔楼'],['1298'],"['143,442元/平']",天河区
['高层采光通风视野好，保养新净，过2免重税'],['汇峰苑 '],['珠江新城中'],['3室2厅 | 114.96平米 | 北 | 其他 | 中楼层(共48层) | 2008年 | 塔楼'],['1730'],"['150,488元/平']",天河区
['汇峰苑 近地铁 高层舒适三房 光线足 视野好 厅大房大'],['汇峰苑 '],['珠江新城中'],['3室2厅 | 114.97平米 | 北 | 其他 | 高楼层(共48层) | 2008年 | 塔楼'],['1700'],"['147,865元/平']",天河区
['业主自住房子保养好，高层视野好，户型方正实用'],['汇峰苑 '],['珠江新城中'],['3室2厅 | 114.96平米 | 北 | 其他 | 高楼层(共48层) | 2008年 | 塔楼'],['1880'],"['163,536元/平']",天河区
['汇峰苑 3房2卫 方正户型 安静 业主诚意卖'],['汇峰苑 '],['珠江新城中'],['3室1厅 | 114.97平米 | 北 | 精装 | 低楼层(共48层) | 2008年 | 塔楼'],['1350'],"['117,422元/平']",天河区
['天空别墅  南向大三房  业主诚*'],['中达广场 '],['珠江新城中'],['3室2厅 | 123.14平米 | 南 | 精装 | 中楼层(共25层) | 2012年 | 板塔结合'],['820'],"['66,591元/平']",天河区
['三层复式，三房双主套，业主诚心卖。'],['中达广场 '],['珠江新城中'],['3室2厅 | 123.14平米 | 西南 | 精装 | 低楼层(共25层) | 2012年 | 板塔结合'],['765'],"['62,125元/平']",天河区
['中高层南向望花园，单边位，三房带主套，采光好'],['保利心语 '],['珠江新城中'],['3室2厅 | 114.87平米 | 南 | 简装 | 中楼层(共32层) | 2009年 | 塔楼'],['1314'],"['114,391元/平']",天河区
['次新楼盘嘉裕公馆高层南向三房，通风对流采光好'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 122.92平米 | 南 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['2680'],"['218,028元/平']",天河区
['保利心语三房南向，带大露台花园'],['保利心语 '],['珠江新城中'],['3室1厅 | 115.11平米 | 南 | 精装 | 低楼层(共32层) | 2009年 | 塔楼'],['1730'],"['150,292元/平']",天河区
['嘉裕公馆南向3房带露台诚意出手'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 122.66平米 | 南 | 其他 | 低楼层(共33层) | 2015年 | 塔楼'],['2346'],"['191,261元/平']",天河区
['嘉裕公馆二期 南向3房 证5唯1 日照充足 通风对流'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 122.92平米 | 南 | 其他 | 低楼层(共33层) | 2015年 | 塔楼'],['2650'],"['215,588元/平']",天河区
['舒适花园小区 高层保养好 望小区花园绿化'],['利雅湾 '],['珠江新城中'],['3室2厅 | 151.03平米 | 西南 | 其他 | 中楼层(共31层) | 2004年 | 塔楼'],['2130'],"['141,032元/平']",天河区
['利雅湾 安静看花园 四房 鸟语花香'],['利雅湾 '],['珠江新城中'],['3室1厅 | 151平米 | 西南 | 其他 | 低楼层(共31层) | 2004年 | 板塔结合'],['2035'],"['134,769元/平']",天河区
['东南向安静看花园 居住舒适度高'],['利雅湾 '],['珠江新城中'],['3室1厅 | 151.03平米 | 东南 | 其他 | 低楼层(共31层) | 2004年 | 塔楼'],['2100'],"['139,046元/平']",天河区
['利雅湾 高层望花园 安静舒适 环境优美 采光好'],['利雅湾 '],['珠江新城中'],['3室2厅 | 153.3平米 | 东南 南 | 精装 | 中楼层(共29层) | 2004年 | 塔楼'],['1838'],"['119,896元/平']",天河区
['利雅湾 高层望花园 安静舒适 环境优美 采光好'],['利雅湾 '],['珠江新城中'],['3室2厅 | 153.3平米 | 东南 南 | 精装 | 中楼层(共29层) | 2004年 | 塔楼'],['1838'],"['119,896元/平']",天河区
['安静东北向，望花园景观好，满五'],['利雅湾 '],['珠江新城中'],['3室2厅 | 109.59平米 | 北 | 精装 | 中楼层(共29层) | 2004年 | 塔楼'],['1480'],"['135,049元/平']",天河区
['中区原始户型三房，70碗装修，刚竣工半年，看房有钥匙'],['利雅湾 '],['珠江新城中'],['3室1厅 | 86.91平米 | 北 | 精装 | 低楼层(共31层) | 2004年 | 塔楼'],['950'],"['109,309元/平']",天河区
['利雅湾实用小三房 户型方正 主卧带阳台'],['利雅湾 '],['珠江新城中'],['3室2厅 | 90.32平米 | 北 | 其他 | 低楼层(共31层) | 2004年 | 塔楼'],['1050'],"['116,254元/平']",天河区
['实用小三房 三阳台设计 高楼层'],['利雅湾 '],['珠江新城中'],['3室1厅 | 90.49平米 | 北 | 其他 | 高楼层(共31层) | 2004年 | 塔楼'],['1050'],"['116,035元/平']",天河区
['此房子满五年，装修保养好，高层景观视野好'],['利雅湾 '],['珠江新城中'],['3室2厅 | 109.58平米 | 东北 | 精装 | 中楼层(共29层) | 2004年 | 塔楼'],['1760'],"['160,614元/平']",天河区
['利雅湾花园社区 高层精装3房 博物馆旁 交通便利'],['利雅湾 '],['珠江新城中'],['3室2厅 | 90.49平米 | 北 | 其他 | 高楼层(共31层) | 2004年 | 塔楼'],['1100'],"['121,561元/平']",天河区
['全新装修，单边位  实用率83%三房  购房成本低'],['利雅湾 '],['珠江新城中'],['3室1厅 | 86.91平米 | 北 东北 | 其他 | 中楼层(共31层) | 2004年 | 塔楼'],['1130'],"['130,020元/平']",天河区
['实用三房，高使用率，户型方正，通风明亮，安静舒适'],['利雅湾 '],['珠江新城中'],['3室2厅 | 86.91平米 | 北 | 精装 | 中楼层(共31层) | 2004年 | 塔楼'],['1130'],"['130,020元/平']",天河区
['珠江新城 东南向安静望花园 高层3+1房'],['利雅湾 '],['珠江新城中'],['3室2厅 | 151.54平米 | 东南 | 精装 | 高楼层(共31层) | 2004年 | 板塔结合'],['1840'],"['121,421元/平']",天河区
"['实用三房，高使用率，户型方正,通风明亮']",['利雅湾 '],['珠江新城中'],['3室2厅 | 87.09平米 | 北 | 精装 | 高楼层(共31层) | 2004年 | 板塔结合'],['950'],"['109,083元/平']",天河区
['高层视野开阔，业主诚心，保养好'],['利雅湾 '],['珠江新城中'],['3室2厅 | 87.08平米 | 北 | 其他 | 高楼层(共31层) | 2004年 | 塔楼'],['1180'],"['135,508元/平']",天河区
['证满五年 高楼层景观好 正规一房一厅 装修保养好'],['汇峰苑 '],['珠江新城中'],['1室1厅 | 51.71平米 | 北 | 精装 | 高楼层(共43层) | 2008年 | 塔楼'],['465'],"['89,925元/平']",天河区
['高楼层景观好，格局方正，小面积低投入'],['汇峰苑 '],['珠江新城中'],['1室1厅 | 51.6平米 | 北 | 其他 | 高楼层(共43层) | 2008年 | 塔楼'],['480'],"['93,024元/平']",天河区
['优质小区 中高层 景观视野好 业主卖心强 方便看房'],['汇峰苑 '],['珠江新城中'],['1室1厅 | 51.6平米 | 北 东北 | 简装 | 中楼层(共43层) | 2008年 | 塔楼'],['420'],"['81,396元/平']",天河区
['中海花城湾 两房 户型方正 视野开阔 望珠江公园'],['中海花城湾 '],['珠江新城中'],['2室1厅 | 82.79平米 | 北 | 精装 | 低楼层(共30层) | 2005年 | 塔楼'],['1280'],"['154,609元/平']",天河区
['碧海湾难得方正户型 一线江景 过5唯一'],['碧海湾 '],['珠江新城西'],['3室2厅 | 139.14平米 | 西南 | 精装 | 中楼层(共28层) | 2003年 | 塔楼'],['1288'],"['92,569元/平']",天河区
['飞机户型，两房，高层望珠江公园'],['中海花城湾 '],['珠江新城中'],['2室2厅 | 82.79平米 | 北 | 精装 | 高楼层(共30层) | 2005年 | 塔楼'],['1270'],"['153,401元/平']",天河区
['小区正中位置 东南望园林四房 新装修过中空调 保养好'],['利雅湾 '],['珠江新城中'],['4室2厅 | 124.8平米 | 东南 | 精装 | 低楼层(共31层) | 2004年 | 板塔结合'],['1388'],"['111,218元/平']",天河区
['利雅湾“别墅”，前后各一个花园，一年四季，诗情画意'],['利雅湾 '],['珠江新城中'],['4室2厅 | 124.8平米 | 南 北 | 其他 | 低楼层(共31层) | 2004年 | 塔楼'],['1788'],"['143,270元/平']",天河区
['户型方正，3+1房，高楼层，正南向，全明格局'],['保利心语 '],['珠江新城中'],['3室1厅 | 112.56平米 | 南 | 精装 | 高楼层(共32层) | 2008年 | 板塔结合'],['1300'],"['115,494元/平']",天河区
['CBD安静看花园，楼市风向标，高层南向 三房两卫'],['保利心语 '],['珠江新城中'],['3室2厅 | 112.65平米 | 西 | 其他 | 高楼层(共32层) | 2009年 | 板塔结合'],['1280'],"['113,627元/平']",天河区
['保利心语三房户型方正中层安静看花园'],['保利心语 '],['珠江新城中'],['3室2厅 | 110.63平米 | 北 | 精装 | 中楼层(共32层) | 2008年 | 板塔结合'],['1298'],"['117,329元/平']",天河区
['天河北金穗大厦南向大三房满五年随时看房'],['金穗大厦 '],['体育中心'],['3室1厅 | 113.48平米 | 南 | 精装 | 中楼层(共33层) | 1997年 | 板塔结合'],['560'],"['49,348元/平']",天河区
['电梯楼，高层，采光好，体育西地铁口，证过五年'],['聚侨苑 '],['天河南'],['3室2厅 | 120.98平米 | 南 | 简装 | 高楼层(共10层) | 1999年 | 塔楼'],['570'],"['47,116元/平']",天河区
['聚侨苑 体育西花园式小区 电梯中高层南向 采光视野好'],['聚侨苑 '],['天河南'],['3室2厅 | 126.2平米 | 东南 南 | 简装 | 高楼层(共9层) | 1999年 | 塔楼'],['535'],"['42,394元/平']",天河区
['珠江新城安静精致大单间 高楼层 全明格局 业主诚心卖'],['汇峰苑 '],['珠江新城中'],['1室1厅 | 45.98平米 | 西 | 其他 | 中楼层(共43层) | 2008年 | 塔楼'],['399'],"['86,777元/平']",天河区
['汇峰苑 1室1厅 南'],['汇峰苑 '],['珠江新城中'],['1室1厅 | 44.65平米 | 南 | 精装 | 低楼层(共43层) | 2008年 | 塔楼'],['355'],"['79,508元/平']",天河区
['业主诚意，安静户型，采光好，通风'],['汇峰苑 '],['珠江新城中'],['1室1厅 | 41.49平米 | 西 | 精装 | 高楼层(共43层) | 2008年 | 塔楼'],['350'],"['84,358元/平']",天河区
['：证满五年 高楼层，采光好 正规一房  装修保养好'],['汇峰苑 '],['珠江新城中'],['1室0厅 | 42.09平米 | 西 | 其他 | 高楼层(共43层) | 2008年 | 塔楼'],['338'],"['80,305元/平']",天河区
['业主诚意，安静户型，采光好，通风'],['汇峰苑 '],['珠江新城中'],['1室0厅 | 41.49平米 | 西 | 精装 | 低楼层(共43层) | 2008年 | 塔楼'],['350'],"['84,358元/平']",天河区
