标题,小区,地区,房源信息,总价,单价,所在区
['万科城市花园稀有中高楼层，南向大三房，业主诚心卖'],['万科城市花园 '],['文冲'],['3室1厅 | 111.43平米 | 南 | 其他 | 中楼层(共18层) | 2003年 | 塔楼'],['450'],"['40,385元/平']",黄埔区
['保税广场三期电梯大三房，通风采光好！'],['保税广场 '],['开发西区'],['3室2厅 | 129.48平米 | 东 | 其他 | 中楼层(共12层)  | 塔楼'],['265'],"['20,467元/平']",黄埔区
['地铁5，7号线中楼层大三房 双阳台'],['中鼎君和名城 '],['黄埔区府'],['3室2厅 | 125平米 | 南 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['530'],"['42,400元/平']",黄埔区
['电梯房，楼下就是公交站 近地铁口 出行方便'],['明汇轩 '],['开发西区'],['3室2厅 | 113.69平米 | 东 | 精装 | 高楼层(共22层) | 2007年 | 塔楼'],['240'],"['21,111元/平']",黄埔区
['保税广场三期电梯大三房，通风采光好！'],['保税广场 '],['开发西区'],['3室2厅 | 129.48平米 | 东 | 其他 | 中楼层(共12层)  | 塔楼'],['265'],"['20,467元/平']",黄埔区
['户型方正东南朝向采光好业主诚心卖'],['雍翠雅园 '],['开发西区'],['3室2厅 | 123.65平米 | 东南 | 精装 | 高楼层(共22层) | 2006年 | 塔楼'],['299'],"['24,182元/平']",黄埔区
['泰景东城华庭 三房两厅 双地铁'],['泰景花园东城华庭 '],['黄埔区府'],['3室2厅 | 124.69平米 | 南 | 精装 | 低楼层(共27层) | 2014年 | 塔楼'],['550'],"['44,110元/平']",黄埔区
['金融城东区珠江边的中空复式三房三卫'],['保利鱼珠港南区 '],['鱼珠'],['3室2厅 | 116.6平米 | 西 | 精装 | 低楼层(共21层)  | 塔楼'],['390'],"['33,448元/平']",黄埔区
['城市花园 南向望小区泳池 高层视野宽阔 采光充足'],['万科城市花园 '],['文冲'],['3室2厅 | 112.31平米 | 西南 | 精装 | 高楼层(共18层) | 2003年 | 塔楼'],['390'],"['34,726元/平']",黄埔区
['文冲商贸大厦 3室2厅 南 北'],['文冲商贸大厦 '],['文冲'],['3室2厅 | 117.77平米 | 南 北 | 其他 | 中楼层(共8层) | 1997年 | 塔楼'],['288'],"['24,455元/平']",黄埔区
['乙烯处长楼  实惠大三房两卫 双地铁五号线七号线'],['乙烯大院 '],['黄埔区府'],['3室2厅 | 115.44平米 | 南 | 简装 | 高楼层(共8层) | 1998年 | 塔楼'],['275'],"['23,822元/平']",黄埔区
['黄埔新村 大沙东地铁 乌冲BRT 电梯大3房 中间楼层'],['黄埔新村一期 '],['黄埔区府'],['3室2厅 | 114.54平米 | 北 南 | 其他 | 中楼层(共9层) | 1997年 | 塔楼'],['280'],"['24,446元/平']",黄埔区
['保利鱼珠港西南单边一线江景复式金融城东区宝藏楼盘'],['保利鱼珠港南区 '],['鱼珠'],['3室2厅 | 123.28平米 | 西 | 精装 | 中楼层(共21层)  | 塔楼'],['405'],"['32,853元/平']",黄埔区
['开发区西区大三房急卖  jia格好谈 楼下地铁号线'],['青年路东兴楼 '],['开发西区'],['3室2厅 | 112.29平米 | 南 | 精装 | 高楼层(共8层)  | 板楼'],['175'],"['15,585元/平']",黄埔区
['黄埔仓南向三房，格局方正，诚心出卖'],['黄埔万科中心 '],['文冲'],['3室1厅 | 50.85平米 | 南 | 精装 | 低楼层(共22层) | 2016年 | 塔楼'],['90'],"['17,700元/平']",黄埔区
['黄埔仓 三房一卫 精装修 诚心出让'],['黄埔万科中心 '],['文冲'],['3室1厅 | 50.85平米 | 北 | 其他 | 低楼层(共22层) | 2016年 | 塔楼'],['80'],"['15,733元/平']",黄埔区
['楼下就是地铁口，配套齐全，交通方便'],['普晖村 '],['开发西区'],['3室1厅 | 62.48平米 | 西 | 其他 | 高楼层(共9层)  | 塔楼'],['94'],"['15,045元/平']",黄埔区
['黄埔仓南向三房，格局方正，诚心出卖'],['黄埔万科中心 '],['文冲'],['3室1厅 | 50.85平米 | 南 | 其他 | 低楼层(共22层) | 2016年 | 塔楼'],['76'],"['14,946元/平']",黄埔区
['开发商精装修，保养很不错， 交通便利，复式三房'],['黄埔万科中心 '],['文冲'],['3室1厅 | 66.3平米 | 东北 | 精装 | 高楼层(共22层) | 2016年 | 塔楼'],['89'],"['13,424元/平']",黄埔区
['黄埔万科中心 13号双岗地铁口 交通便利 拎包 装修好'],['黄埔万科中心 '],['文冲'],['3室1厅 | 50.85平米 | 北 | 其他 | 低楼层(共22层) | 2016年 | 塔楼'],['75'],"['14,750元/平']",黄埔区
['黄埔万科中心 3室1厅 南'],['黄埔万科中心 '],['文冲'],['3室1厅 | 50.85平米 | 南 | 其他 | 低楼层(共22层) | 2016年 | 塔楼'],['82'],"['16,126元/平']",黄埔区
['黄埔仓 南向三房 精装修楼龄新 随时可看房'],['黄埔万科中心 '],['文冲'],['3室1厅 | 50.85平米 | 南 | 其他 | 低楼层(共22层) | 2016年 | 塔楼'],['80'],"['15,733元/平']",黄埔区
['新港生活区   低楼层两房一厅  夏园地铁近'],['新港生活区 '],['南岗'],['3室1厅 | 46.01平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据'],['95'],"['20,648元/平']",黄埔区
['普晖村三房、配套齐，业主诚心卖！'],['普晖村 '],['开发西区'],['3室2厅 | 87.24平米 | 南 | 简装 | 高楼层(共9层) | 1996年 | 塔楼'],['95'],"['10,890元/平']",黄埔区
['此房满五，近地铁，户型方正3房 采光好 配套齐全。'],['墩美小区 '],['夏园'],['3室1厅 | 76.96平米 | 南 | 精装 | 高楼层(共9层) | 1997年 | 塔楼'],['95'],"['12,345元/平']",黄埔区
['中新里南向三房 南北对流 近地铁交通便利'],['腾飞园中新里 '],['知识城'],['3室2厅 | 111平米 | 南 | 精装 | 中楼层(共25层) | 2016年 | 塔楼'],['150'],"['13,514元/平']",黄埔区
['南向大三房，优质的小区管理，房子保养好'],['时代中国时代天韵 '],['知识城'],['3室1厅 | 121.37平米 | 南 | 精装 | 低楼层(共20层) | 2018年 | 塔楼'],['270'],"['22,247元/平']",黄埔区
['越秀岭南雅筑 3室2厅 西南'],['越秀岭南雅筑 '],['香雪'],['3室2厅 | 116.79平米 | 西南 | 其他 | 低楼层(共32层)  | 塔楼'],['230'],"['19,694元/平']",黄埔区
['中海誉城北苑，南向舒适三房，视野开阔。'],['中海誉城北苑 '],['香雪'],['3室2厅 | 122.23平米 | 南 北 | 精装 | 低楼层(共33层) | 2015年 | 塔楼'],['255'],"['20,863元/平']",黄埔区
['厅出大阳台大三房，南向卧室，中低楼层安静看花园'],['中海誉城北苑 '],['香雪'],['3室2厅 | 124.8平米 | 东南 | 精装 | 低楼层(共33层)  | 塔楼'],['260'],"['20,834元/平']",黄埔区
['时代中国时代天韵 3室2厅 南'],['时代中国时代天韵 '],['知识城'],['3室2厅 | 121平米 | 南 | 其他 | 高楼层(共20层) | 2018年 | 塔楼'],['320'],"['26,447元/平']",黄埔区
['中层双阳台视野好地铁口，500米内商场公园'],['绿地城凤语湾 '],['知识城'],['3室2厅 | 114.11平米 | 南 | 精装 | 中楼层(共33层) | 2017年 | 塔楼'],['210'],"['18,404元/平']",黄埔区
['业主诚心卖，中高楼层，看花园，视野好近地铁口'],['时代中国时代天韵 '],['知识城'],['3室2厅 | 115.21平米 | 南 北 | 精装 | 高楼层(共29层) | 2021年 | 塔楼'],['256'],"['22,221元/平']",黄埔区
['中海南苑南向边户大三房，中间楼层，满五唯一，急出'],['中海誉城南苑 '],['香雪'],['3室2厅 | 121.47平米 | 南 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['265'],"['21,817元/平']",黄埔区
['时代中国时代天韵 3室2厅 南'],['时代中国时代天韵 '],['知识城'],['3室2厅 | 121平米 | 南 | 其他 | 高楼层(共20层) | 2018年 | 塔楼'],['320'],"['26,447元/平']",黄埔区
['南向满五唯一珠江嘉园三房 楼层好 视野宽阔 采光充足'],['珠江嘉园 '],['黄埔永和'],['3室1厅 | 110.47平米 | 南 | 精装 | 中楼层(共17层) | 2017年 | 塔楼'],['148'],"['13,398元/平']",黄埔区
['中海誉城北苑 三房两卫 南向 安静望山景'],['中海誉城北苑 '],['香雪'],['3室2厅 | 112.36平米 | 南 | 精装 | 低楼层(共43层)  | 塔楼'],['288'],"['25,632元/平']",黄埔区
['中海誉城北苑 3室1厅 南'],['中海誉城北苑 '],['香雪'],['3室1厅 | 122.21平米 | 南 | 精装 | 高楼层(共33层) | 2014年 | 塔楼'],['260'],"['21,275元/平']",黄埔区
['腾飞中新里  大三房  楼层好 近地铁项目'],['腾飞园中新里 '],['知识城'],['3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共26层) | 2016年 | 塔楼'],['155'],"['13,717元/平']",黄埔区
['诚出 地铁楼上 3房6米阳台 南向全明户型'],['绿地城泊语湾 '],['知识城'],['3室2厅 | 114.66平米 | 南 | 精装 | 中楼层(共33层) | 2017年 | 板塔结合'],['195'],"['17,007元/平']",黄埔区
['鱼珠金融城网红小区五期2梯3户'],['金碧世纪花园 '],['大沙地'],['3室1厅 | 129.72平米 | 东南 南 | 精装 | 中楼层(共25层) | 2007年 | 塔楼'],['458'],"['35,307元/平']",黄埔区
['黄埔区 地铁14号线 知识城腾飞园 南北对流3房2卫'],['腾飞园中新里 '],['知识城'],['3室2厅 | 119.26平米 | 南 北 | 精装 | 中楼层(共25层) | 2016年 | 塔楼'],['290'],"['24,317元/平']",黄埔区
['珠江嘉园 小区中间位置大三房  南向视野好'],['珠江嘉园 '],['黄埔永和'],['3室2厅 | 110.89平米 | 南 | 精装 | 高楼层(共17层) | 2015年 | 塔楼'],['268'],"['24,169元/平']",黄埔区
['绿地城泊语湾 3室2厅 东南'],['绿地城泊语湾 '],['知识城'],['3室2厅 | 113.03平米 | 东南 | 精装 | 中楼层(共30层) | 2017年 | 板塔结合'],['260'],"['23,003元/平']",黄埔区
['珠江嘉园 大三房望花园 南北对流三房 业主诚心卖'],['珠江嘉园 '],['黄埔永和'],['3室2厅 | 110.47平米 | 南 | 精装 | 中楼层(共17层) | 2017年 | 塔楼'],['335'],"['30,325元/平']",黄埔区
['格局方正 东南朝向 采光通风好  大三房'],['珠江嘉园 '],['黄埔永和'],['3室2厅 | 110.47平米 | 南 | 其他 | 低楼层(共17层) | 2017年 | 塔楼'],['200'],"['18,105元/平']",黄埔区
['区府旁，南向三房，交通方便，jia格优势。'],['汇丽国际 '],['科学城'],['3室2厅 | 120.18平米 | 南 | 精装 | 低楼层(共16层) | 2017年 | 塔楼'],['210'],"['17,474元/平']",黄埔区
['绿地城泊语湾 3室2厅 东南'],['绿地城泊语湾 '],['知识城'],['3室2厅 | 124平米 | 东南 | 精装 | 高楼层(共30层) | 2017年 | 板塔结合'],['280'],"['22,581元/平']",黄埔区
['满五非唯一，房源采光充足，精装修，阳台可望江'],['金逸雅居 '],['黄埔区府'],['3室2厅 | 118.25平米 | 东北 | 精装 | 中楼层(共11层) | 2006年 | 塔楼'],['426'],"['36,026元/平']",黄埔区
['南向大三房 釆光充足 中高楼层视野宽阔，'],['珠江嘉园 '],['黄埔永和'],['3室2厅 | 110.09平米 | 东南 南 | 精装 | 低楼层(共17层) | 2015年 | 塔楼'],['252'],"['22,891元/平']",黄埔区
['康慧苑大三房  南北对流  中层  望小区  保养很好'],['宏康花园四期康慧苑 '],['开发东区'],['3室2厅 | 113平米 | 南 | 精装 | 中楼层(共7层) | 2005年 | 塔楼'],['216'],"['19,116元/平']",黄埔区
['中层南向大三房，户型方正，视野开阔，景观好'],['金碧世纪花园 '],['大沙地'],['3室2厅 | 129.72平米 | 南 | 其他 | 中楼层(共25层) | 2007年 | 塔楼'],['638'],"['49,183元/平']",黄埔区
['此房 户型方正 装修保养好，业主诚心。'],['宝能文化广场 '],['科学城'],['3室2厅 | 126.34平米 | 南 | 其他 | 高楼层(共31层) | 2018年 | 塔楼'],['768'],"['60,789元/平']",黄埔区
['大三房，居住舒适，首付低，南向望花园'],['越秀岭南雅筑 '],['香雪'],['3室2厅 | 117.34平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼'],['288'],"['24,545元/平']",黄埔区
['岭南雅筑  大3房   南北对流'],['越秀岭南雅筑 '],['香雪'],['3室2厅 | 117.51平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼'],['305'],"['25,956元/平']",黄埔区
['全屋轻奢风格装修 双层隔音玻璃，南北采光三房'],['奥园香雪华府 '],['香雪'],['3室2厅 | 129.04平米 | 南 北 | 精装 | 中楼层(共32层) | 2017年 | 板楼'],['580'],"['44,948元/平']",黄埔区
['黄埔花园 南向大三房 远离马路安静不吵 单边位采光好'],['黄埔花园 '],['黄埔区府'],['3室2厅 | 115平米 | 南 | 其他 | 低楼层(共18层) | 2005年 | 塔楼'],['579'],"['50,348元/平']",黄埔区
['奥园香雪华府 3室1厅 东南'],['奥园香雪华府 '],['香雪'],['3室1厅 | 115.72平米 | 东南 | 精装 | 低楼层(共32层) | 2017年 | 板楼'],['460'],"['39,752元/平']",黄埔区
['房子保养新 交通方便 配套多 自信出租都不错'],['新福港鼎峰 '],['科学城'],['3室1厅 | 128.72平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼'],['685'],"['53,217元/平']",黄埔区
['东城雅苑南向大三房，采光无遮挡'],['东城雅苑 '],['开发东区'],['3室1厅 | 124.61平米 | 南 | 精装 | 中楼层(共12层) | 2005年 | 塔楼'],['209'],"['16,773元/平']",黄埔区
['雅筑南向大三房 中间楼层 视野通透 采光好'],['越秀岭南雅筑 '],['香雪'],['3室1厅 | 117.12平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼'],['320'],"['27,323元/平']",黄埔区
['腾飞园中新里 近地铁 三房二厅 南向单位'],['腾飞园中新里 '],['知识城'],['3室2厅 | 113.81平米 | 南 | 精装 | 中楼层(共25层) | 2016年 | 塔楼'],['399'],"['35,059元/平']",黄埔区
['黄埔南岗电梯大三房 南向花园格局方正中楼层'],['东城雅苑 '],['开发东区'],['3室2厅 | 129.65平米 | 东南 | 简装 | 中楼层(共21层) | 2005年 | 塔楼'],['266'],"['20,517元/平']",黄埔区
['绿地城大三房，户型方正，交通方便'],['绿地城凤语湾 '],['知识城'],['3室2厅 | 120.76平米 | 东南 | 其他 | 中楼层(共32层)  | 板塔结合'],['263'],"['21,779元/平']",黄埔区
['越秀岭南雅筑 3室1厅 东南'],['越秀岭南雅筑 '],['香雪'],['3室1厅 | 117.11平米 | 东南 | 其他 | 高楼层(共32层)  | 塔楼'],['295'],"['25,190元/平']",黄埔区
['中新里一期南向三房毛坯房优点可以自己随意装修'],['腾飞园中新里 '],['知识城'],['3室2厅 | 113.86平米 | 东南 | 毛坯 | 高楼层(共26层) | 2016年 | 塔楼'],['266'],"['23,363元/平']",黄埔区
['业主诚心放卖，中高楼层，视野好环境好'],['绿地城凤语湾 '],['知识城'],['3室2厅 | 113平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合'],['243'],"['21,505元/平']",黄埔区
['香雪华府中高楼层，南向 通风采光好，视野好'],['奥园香雪华府 '],['香雪'],['3室2厅 | 115.72平米 | 南 | 精装 | 中楼层(共32层) | 2017年 | 塔楼'],['578'],"['49,949元/平']",黄埔区
['珠江嘉园南向大三房 釆光充足 高楼层视野宽阔'],['珠江嘉园 '],['黄埔永和'],['3室2厅 | 123.55平米 | 东南 | 精装 | 高楼层(共29层) | 2015年 | 塔楼'],['245'],"['19,831元/平']",黄埔区
['科城山庄峻森园 3室1厅 北'],['科城山庄峻森园 '],['科学城'],['3室1厅 | 119.63平米 | 北 | 精装 | 低楼层(共22层)  | 塔楼'],['560'],"['46,812元/平']",黄埔区
['腾飞园 大三房 南向 视野好 无遮挡'],['腾飞园中新里 '],['知识城'],['3室2厅 | 111.6平米 | 南 | 简装 | 高楼层(共25层) | 2016年 | 塔楼'],['199'],"['17,832元/平']",黄埔区
['香雪地铁口物业，中高楼层通风好，业主诚心，免重税'],['奥园香雪华府 '],['香雪'],['3室2厅 | 129.03平米 | 南 | 其他 | 低楼层(共32层) | 2017年 | 板楼'],['500'],"['38,751元/平']",黄埔区
['鸿森大厦 电梯房大三房 满五年 配套成熟交通方便'],['鸿森大厦 '],['南岗'],['3室2厅 | 127.48平米 | 北 | 其他 | 高楼层(共9层) | 1998年 | 塔楼'],['265'],"['20,788元/平']",黄埔区
['全屋正南朝向，好楼层。保养新！'],['万科里享水韵 '],['黄埔永和'],['3室1厅 | 119.48平米 | 南 北 | 其他 | 中楼层(共17层) | 2017年 | 塔楼'],['188'],"['15,735元/平']",黄埔区
['户型南北对流，房子保养好，配套齐全，两梯四户低密度'],['中泰天境 '],['知识城'],['3室2厅 | 125.94平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼'],['180'],"['14,293元/平']",黄埔区
['南向大三房 釆光充足 中高楼层视野宽阔'],['珠江嘉园 '],['黄埔永和'],['3室2厅 | 110.47平米 | 东南 南 | 精装 | 中楼层(共17层) | 2017年 | 塔楼'],['240'],"['21,726元/平']",黄埔区
['奥园香雪华府 地铁口全新未入住3房'],['奥园香雪华府 '],['香雪'],['3室2厅 | 129.04平米 | 东南 | 简装 | 中楼层(共32层) | 2017年 | 板楼'],['500'],"['38,748元/平']",黄埔区
['房子方正  交通便捷  地铁口 采光好  配套好'],['绿地城凤语湾 '],['知识城'],['3室2厅 | 116.33平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合'],['200'],"['17,193元/平']",黄埔区
['正规三房双阳台，中楼层视野开阔'],['东澳广场 '],['开发东区'],['3室1厅 | 113.09平米 | 东北 | 精装 | 中楼层(共18层) | 2005年 | 塔楼'],['180'],"['15,917元/平']",黄埔区
"['此房装修保养好，视野开阔,全新未住过']",['科城山庄峻森园 '],['科学城'],['3室2厅 | 119.72平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼'],['560'],"['46,776元/平']",黄埔区
['此房业主诚心出，户型方正，采光好，保养比较好'],['腾飞园中新里 '],['知识城'],['3室2厅 | 120.09平米 | 南 | 简装 | 高楼层(共25层) | 2016年 | 塔楼'],['250'],"['20,818元/平']",黄埔区
['天韵三期大三房，全新无人住过，看房方便'],['时代中国时代天韵 '],['知识城'],['3室2厅 | 115.13平米 | 北 | 精装 | 高楼层(共29层) | 2019年 | 塔楼'],['312'],"['27,100元/平']",黄埔区
['东澳广场精装修三房，拎包入住，视野开阔'],['东澳广场 '],['开发东区'],['3室2厅 | 112.29平米 | 北 | 精装 | 中楼层(共18层) | 2005年 | 塔楼'],['230'],"['20,483元/平']",黄埔区
['越秀岭南雅筑 中高楼层 采光通风好 视野开阔格局好'],['越秀岭南雅筑 '],['香雪'],['3室2厅 | 116.95平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼'],['420'],"['35,913元/平']",黄埔区
['通透南北对流大三房  楼层适中 业主有心卖'],['万科里享水韵 '],['黄埔永和'],['3室1厅 | 119.48平米 | 南 | 精装 | 中楼层(共17层) | 2017年 | 塔楼'],['196'],"['16,405元/平']",黄埔区
['次新大三房南北对流中高楼层科城山庄峻森园'],['科城山庄峻森园 '],['科学城'],['3室1厅 | 119.64平米 | 北 | 精装 | 中楼层(共22层)  | 塔楼'],['510'],"['42,628元/平']",黄埔区
['时代中国时代天韵 3室2厅 北'],['时代中国时代天韵 '],['知识城'],['3室2厅 | 115.21平米 | 北 | 精装 | 中楼层(共29层)  | 塔楼'],['280'],"['24,304元/平']",黄埔区
['南向三房双阳台全新未住过小区里面靓位两梯四户小高层'],['珠江嘉园 '],['黄埔永和'],['3室2厅 | 110.47平米 | 南 | 精装 | 低楼层(共17层) | 2017年 | 塔楼'],['200'],"['18,105元/平']",黄埔区
['荔香花园 正规三房 可公积金贷款 看房方便'],['荔香花园 '],['黄埔区府'],['3室2厅 | 117.27平米 | 东南 | 简装 | 高楼层(共9层) | 1996年 | 塔楼'],['350'],"['29,846元/平']",黄埔区
['南向大3房  双阳台  通风采光俱佳'],['万科里享水韵 '],['黄埔永和'],['3室2厅 | 118.31平米 | 南 | 精装 | 高楼层(共16层) | 2017年 | 塔楼'],['253'],"['21,385元/平']",黄埔区
['时代天韵大三房，视野好，交通方便，户型方正'],['时代中国时代天韵 '],['知识城'],['3室2厅 | 115.13平米 | 北 | 精装 | 高楼层(共29层)  | 塔楼'],['315'],"['27,361元/平']",黄埔区
['爱特城南北对流四房，视野开阔，通风采光好！'],['越秀保利爱特城 '],['香雪'],['3室2厅 | 112.26平米 | 北 南 | 精装 | 低楼层(共30层)  | 塔楼'],['280'],"['24,943元/平']",黄埔区
['南向大三房，高楼层 视野开阔无遮挡，采光通风良好'],['品秀星樾 '],['香雪'],['3室2厅 | 114.26平米 | 南 | 精装 | 33层  | 塔楼'],['480'],"['42,010元/平']",黄埔区
['南北对流，位置，楼层好，房子采光通风好'],['绿地城凤语湾 '],['知识城'],['3室2厅 | 121.7平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合'],['367'],"['30,157元/平']",黄埔区
['南向大三房，高楼层 视野开阔无遮挡，采光通风良好'],['品秀星樾 '],['香雪'],['3室2厅 | 114.26平米 | 南 | 精装 | 33层  | 塔楼'],['480'],"['42,010元/平']",黄埔区
['南北对流，位置，楼层好，房子采光通风好'],['绿地城凤语湾 '],['知识城'],['3室2厅 | 121.7平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合'],['367'],"['30,157元/平']",黄埔区
['低密度小高层，一楼带地下室，使用率高达200%'],['保利香雪山花园 '],['科学城'],['3室2厅 | 125.4平米 | 南 | 其他 | 低楼层(共10层) | 2009年 | 板楼'],['920'],"['73,366元/平']",黄埔区
['金逸雅居，电梯大三房，安静不吵'],['金逸雅居 '],['黄埔区府'],['3室2厅 | 118.59平米 | 东南 | 精装 | 中楼层(共17层) | 2006年 | 塔楼'],['425'],"['35,838元/平']",黄埔区
